player_name,last_first,chadwick_name,espn_name,savant_id,bbref_id,retro_id,fangraphs_id,espn_id,espn_headshot
Kevin Kiermaier,"Kiermaier, Kevin",Kevin Kiermaier,Kevin Kiermaier,595281,kiermke01,kierk001,11038,31446,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31446.png
Bryce Brentz,"Brentz, Bryce",Bryce Brentz,Bryce Brentz,518490,brentbr01,brenb002,10607,31452,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31452.png
Justin Bour,"Bour, Justin",Justin Bour,Justin Bour,571506,bourju01,bourj002,9744,31453,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31453.png
Brian Moran,"Moran, Brian",Brian Moran,Brian Moran,572383,moranbr01,morab001,9646,31455,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31455.png
Drew Hutchison,"Hutchison, Drew",Drew Hutchison,Drew Hutchison,571800,hutchdr01,hutcd001,10732,31462,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31462.png
Luis Avilán,"Avilán, Luis",Luis Avilan,Luis Avilan,501593,avilalu01,avill001,2882,31465,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31465.png
Darin Ruf,"Ruf, Darin",Darin Ruf,Darin Ruf,573131,rufda01,ruf-d001,9929,31470,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31470.png
Abraham Almonte,"Almonte, Abraham",Abraham Almonte,Abraham Almonte,501659,almonab01,almoa001,5486,31474,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31474.png
Pat Venditte,"Venditte, Pat",Pat Venditte,Pat Venditte,519381,vendipa01,vendp001,7108,31475,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31475.png
John Ryan Murphy,"Murphy, John Ryan",J. R. Murphy,J.R. Murphy,571974,murphjr01,murpj001,10346,31477,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31477.png
Khris Davis,"Davis, Khris",Khris Davis,Khris Davis,501981,daviskh01,davik003,9112,31478,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31478.png
Addison Reed,"Reed, Addison",Addison Reed,Addison Reed,592665,reedad01,reeda001,10586,31493,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31493.png
Brad Boxberger,"Boxberger, Brad",Brad Boxberger,Brad Boxberger,502202,boxbebr01,boxbb001,10133,31495,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31495.png
Jarrett Parker,"Parker, Jarrett",Jarrett Parker,Jarrett Parker,592620,parkeja03,parkj002,11624,31499,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31499.png
Tony Watson,"Watson, Tony",Tony Watson,Tony Watson,453265,watsoto01,watst001,3132,31513,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31513.png
Tom Wilhelmsen,"Wilhelmsen, Tom",Tom Wilhelmsen,Tom Wilhelmsen,452666,wilheto01,wilht001,9975,31517,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31517.png
Nate Adcock,"Adcock, Nate",Nathan Adcock,Nate Adcock,502264,adcocna01,adcon001,3282,31518,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31518.png
Ryan Cook,"Cook, Ryan",Ryan Cook,Ryan Cook,475857,cookry01,cookr001,8855,31532,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31532.png
Nick Vincent,"Vincent, Nick",Nick Vincent,Nick Vincent,543883,vinceni01,vincn001,7555,31540,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31540.png
Will Smith,"Smith, Will",Will Smith,Will Smith,519293,smithwi04,smitw002,8048,31549,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31549.png
Jared Hughes,"Hughes, Jared",Jared Hughes,Jared Hughes,453172,hugheja02,hughj001,9325,31556,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31556.png
Alex Wilson,"Wilson, Alex",Alex Wilson,Alex Wilson,543935,wilsoal01,wilsa001,9239,31557,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31557.png
Jake Smolinski,"Smolinski, Jake",Jake Smolinski,Jake Smolinski,519295,smolija01,smolj002,5408,31558,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31558.png
Isaac Galloway,"Galloway, Isaac",Isaac Galloway,Isaac Galloway,543194,gallois01,galli001,5238,31560,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31560.png
Cody Decker,"Decker, Cody",Cody Decker,Cody Decker,572804,deckeco01,deckc001,9665,31562,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31562.png
Colt Hynes,"Hynes, Colt",Colt Hynes,Colt Hynes,518833,hynesco01,hynec001,7560,31565,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31565.png
Carlos Peguero,"Peguero, Carlos",Carlos Peguero,Carlos Peguero,451713,pegueca01,peguc001,8760,31587,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31587.png
Leonys Martin,"Martin, Leonys",Leonys Martín,Leonys Martin,547982,martile01,martl004,11846,31588,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31588.png
Charlie Furbush,"Furbush, Charlie",Charlie Furbush,Charlie Furbush,518703,furbuch01,furbc001,1370,31589,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31589.png
Brad Peacock,"Peacock, Brad",Brad Peacock,Brad Peacock,502748,peacobr01,peacb001,5401,31591,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31591.png
Tanner Roark,"Roark, Tanner",Tanner Roark,Tanner Roark,543699,roarkta01,roart001,8753,31593,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31593.png
David Holmberg,"Holmberg, David",David Holmberg,David Holmberg,571787,holmbda01,holmd002,7725,31594,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31594.png
A.J. Cole,"Cole, A.J.",A. J. Cole,A.J. Cole,595918,coleaj01,colea002,11467,31595,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31595.png
Zac Rosscup,"Rosscup, Zac",Zac Rosscup,Zac Rosscup,573127,rosscza01,rossz001,9419,31601,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31601.png
A.J. Morris,"Morris, A.J.",A. J. Morris,A.J. Morris,571963,morriaj01,morra002,9919,31602,
Xander Bogaerts,"Bogaerts, Xander",Xander Bogaerts,Xander Bogaerts,593428,bogaexa01,bogax001,12161,31606,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31606.png
Parker Bridwell,"Bridwell, Parker",Parker Bridwell,Parker Bridwell,592170,bridwpa01,bridp001,11502,31607,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31607.png
Paul Clemens,"Clemens, Paul",Paul Clemens,Paul Clemens,518560,clemepa02,clemp002,8037,31609,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31609.png
Oliver Drake,"Drake, Oliver",Oliver Drake,Oliver Drake,543118,drakeol01,drako001,8823,31615,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31615.png
Ramón Flores,"Flores, Ramón",Ramon Flores,Ramon Flores,570717,florera02,florr003,11165,31617,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31617.png
Mychal Givens,"Givens, Mychal",Mychal Givens,Mychal Givens,571710,givenmy01,givem001,10430,31618,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31618.png
Ashur Tolliver,"Tolliver, Ashur",Ashur Tolliver,Ashur Tolliver,572208,tollias01,tolla001,10044,31629,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31629.png
Tyler Ladendorf,"Ladendorf, Tyler",Tyler Ladendorf,Tyler Ladendorf,502285,ladenty01,ladet001,3211,31647,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31647.png
Kaleb Cowart,"Cowart, Kaleb",Kaleb Cowart,Kaleb Cowart,592230,cowarka01,cowak001,11494,31648,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31648.png
Jake Odorizzi,"Odorizzi, Jake",Jake Odorizzi,Jake Odorizzi,543606,odorija01,odorj001,6397,31654,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31654.png
Cristhian Adames,"Adames, Cristhian",Cristhian Adames,Cristhian Adames,542436,adamecr01,adamc001,6013,31659,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31659.png
Austin Adams,"Adams, Austin",Austin Adams,Austin Adams,542866,adamsau01,adama001,7411,31660,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31660.png
Jose Altuve,"Altuve, Jose",Jose Altuve,Jose Altuve,514888,altuvjo01,altuj001,5417,31662,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31662.png
